iter	Passed	Remaining
0	61	73990
1	156	93660
2	260	104101
3	355	106172
4	406	97037
5	465	92547
6	544	92754
7	583	86969
8	664	87891
9	709	84385
10	772	83466
11	835	82737
12	910	83119
13	921	78067
14	971	76757
15	1041	77063
16	1118	77819
17	1170	76856
18	1294	80436
19	1379	81368
20	1434	80511
21	1480	79263
22	1546	79163
23	1590	77951
24	1620	76148
25	1680	75886
26	1749	76025
27	1828	76554
28	1903	76865
29	1983	77354
30	2055	77525
31	2117	77301
32	2177	77008
33	2238	76765
34	2298	76512
35	2353	76080
36	2392	75196
37	2434	74453
38	2479	73807
39	2524	73215
40	2600	73501
41	2657	73278
42	2707	72863
43	2780	73054
44	2818	72345
45	2872	72050
46	2913	71479
47	2966	71191
48	3041	71438
49	3103	71371
50	3145	70856
51	3204	70747
52	3281	71012
53	3342	70938
54	3410	70990
55	3477	71036
56	3525	70697
57	3590	70696
58	3637	70349
59	3704	70378
60	3765	70318
61	3833	70367
62	3893	70271
63	3963	70354
64	4026	70306
65	4085	70196
66	4122	69708
67	4157	69215
68	4212	69052
69	4272	68971
70	4324	68763
71	4383	68678
72	4441	68567
73	4504	68546
74	4573	68598
75	4645	68699
76	4685	68335
77	4750	68331
78	4798	68095
79	4866	68133
80	4935	68182
81	5020	68451
82	5100	68639
83	5163	68602
84	5219	68465
85	5270	68275
86	5344	68371
87	5413	68410
88	5459	68153
89	5520	68090
90	5591	68141
91	5652	68078
92	5712	67998
93	5744	67589
94	5802	67492
95	5859	67386
96	5925	67375
97	5973	67171
98	6036	67129
99	6092	67015
100	6143	66846
